Model,Average Accuracy (%),Accuracy Gain (pp)
Ensemble1,97.46642640747315,0.0
CatBoost,96.26951093588904,1.1969154715841057
Ensemble2,93.05951386217104,4.406912545302106
TCN,92.59133353409892,4.8750928733742285
LSTM,88.66789685111287,8.798529556360279
TFT,85.80156141667914,11.664864990794015
